"gene","module","MM_own","GS_growth"
"Gohir.D13G234600","blue",0.733375528279817,-0.97034805959413
"Gohir.A04G123600","turquoise",0.851473446053397,0.970311493137154
"Gohir.D10G235200","turquoise",0.892693496877112,0.970221197830633
"Gohir.A06G005300","blue",0.938208164623866,-0.970062006595563
"Gohir.D13G219600","blue",0.921545486383811,-0.970028671495362
"Gohir.D13G220600","blue",0.905826342715791,-0.970017480127
"Gohir.D09G088800","turquoise",0.788795691452627,0.969936383079339
"Gohir.D02G236600","turquoise",0.845619458568978,0.969933278650048
"Gohir.D04G125500","turquoise",0.866498976210487,0.969901328665184
"Gohir.A10G215200","turquoise",0.779255232464621,0.969901317449048
"Gohir.A05G008000","turquoise",0.847893617727609,0.969754661144794
"Gohir.A10G170100","turquoise",0.879138235187142,0.969736295284119
"Gohir.D10G114700","turquoise",0.777614674004316,0.96972468060253
"Gohir.A01G122800","turquoise",0.882996922441044,0.969715306637815
"Gohir.D13G188500","turquoise",0.932835690436742,0.969650977583634
"Gohir.A09G248200","blue",0.983491867045521,-0.969629977127521
"Gohir.D08G218800","turquoise",0.784096171373321,0.969533444109213
"Gohir.D06G176300","blue",0.96949613485708,-0.969443867225415
"Gohir.A12G234600","blue",0.925672952335233,-0.969406075436095
"Gohir.D12G116500","turquoise",0.920435938875972,0.969401847501071
"Gohir.D12G144100","blue",0.942125962866123,-0.96939215721146
"Gohir.D08G201000","blue",0.936470878622532,-0.969373484700228
"Gohir.A13G205600","turquoise",0.87016869857588,0.969358478294252
"Gohir.A07G009300","blue",0.858358922602904,-0.96933023749789
"Gohir.A08G210400","turquoise",0.90333811807765,0.969223387701597
"Gohir.A12G030650","turquoise",0.830299732857046,0.969199682462537
"Gohir.A02G024200","blue",0.970995941795943,-0.969157259606099
"Gohir.A12G018000","blue",0.914941213189314,-0.969139873252051
"Gohir.D08G088600","turquoise",0.930817840326854,0.969117562322765
"Gohir.D11G334601","turquoise",0.928650261427694,0.969075278075767
"Gohir.A06G148800","blue",0.97956941205152,-0.969019423895467
"Gohir.A12G199100","blue",0.948404391930909,-0.96898231177154
"Gohir.D10G144400","blue",0.968168890543302,-0.968929836687388
"Gohir.A08G229500","turquoise",0.884670267885749,0.968876403077926
"Gohir.A12G049700","turquoise",0.824735095446301,0.968867688641231
"Gohir.D07G226200","turquoise",0.859018652569958,0.968831493470525
"Gohir.A04G108901","blue",0.871917446962433,-0.968805495732816
